,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
21,Elliot Anderson,sct SCO,CCDL,Newcastle Utd,20-185,2002,2.5,86,118,72.9,1228,380,48,58,82.8,30,37,81.1,3,6,50.0,0,0.8,1.0,-0.8,6,9,3,0,14,Partidos,de31038e
22,Jaidon Anthony,eng ENG,CCDL,Bournemouth,23-160,1999,12.7,346,470,73.6,5264,1516,197,227,86.8,102,139,73.4,28,52,53.8,1,1.0,1.1,0.0,12,23,18,7,46,Partidos,e4238fb1
23,Michail Antonio,jm JAM,DL,West Ham,33-043,1990,19.6,175,332,52.7,2512,463,106,158,67.1,54,104,51.9,11,30,36.7,3,1.3,0.8,+1.7,15,12,8,2,27,Partidos,ac05f970
24,Antony,br BRA,DL,Manchester Utd,23-075,2000,17.8,568,714,79.6,7414,1744,387,435,89.0,124,167,74.3,26,45,57.8,1,2.2,2.0,-1.2,24,27,29,2,67,Partidos,99127249
25,Cameron Archer,eng ENG,DLCC,Aston Villa,21-293,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,05e8ca6d
26,Alphonse Areola,fr FRA,PO,West Ham,30-072,1993,3.4,67,92,72.8,1737,1323,25,25,100.0,22,22,100.0,19,43,44.2,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,2f965a72
27,Joe Aribo,ng NGA,CCDL,Southampton,26-293,1996,12.8,268,369,72.6,3398,898,182,235,77.4,60,81,74.1,9,12,75.0,0,0.8,0.5,-0.8,9,20,9,0,39,Partidos,328f7d51
28,Adam Armstrong,eng ENG,DLCC,Southampton,26-089,1997,14.4,217,296,73.3,3203,573,118,142,83.1,70,88,79.5,13,23,56.5,1,1.3,0.8,-0.3,11,12,10,2,16,Partidos,68c720b5
29,Stuart Armstrong,sct SCO,CCDL,Southampton,31-041,1992,14.3,501,638,78.5,7650,2082,274,317,86.4,181,215,84.2,29,53,54.7,1,2.2,2.8,-1.2,16,42,31,6,73,Partidos,97333cf5
30,Kepa Arrizabalaga,es ESP,PO,Chelsea,28-219,1994,25.5,770,930,82.8,17289,10301,248,250,99.2,348,352,98.9,171,324,52.8,0,0.0,0.0,0.0,0,6,0,0,0,Partidos,28d596a0
