,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-266,1999,14.0,629,731,86.0,9224,2642,390,420,92.9,179,204,87.7,35,60,58.3,0,0.4,0.5,-0.4,6,34,5,0,39,Partidos,6b6c793c
311,Orel Mangala,be BEL,CC,Nott'ham Forest,25-053,1998,14.4,374,466,80.3,5620,1551,208,236,88.1,136,163,83.4,20,39,51.3,0,0.1,0.1,-0.1,2,31,2,0,34,Partidos,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,29-005,1994,0.4,23,27,85.2,381,114,13,14,92.9,8,10,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,4,Partidos,758dd7f0
313,Sekou Mara,fr FRA,DLCC,Southampton,20-284,2002,5.8,66,101,65.3,858,162,42,55,76.4,14,17,82.4,4,7,57.1,2,0.8,0.3,+1.2,6,6,2,0,7,Partidos,3544641e
314,Solly March,eng ENG,DLDF,Brighton,28-294,1994,30.2,951,1312,72.5,17051,4026,443,526,84.2,367,481,76.3,113,208,54.3,7,8.4,6.3,-1.4,67,63,52,15,135,Partidos,bb5fbd2b
315,Emiliano Marcondes,dk DEN,CC,Bournemouth,28-062,1995,0.1,1,1,100.0,56,37,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Partidos,4d960fc3
316,Marquinhos,br BRA,CC,Arsenal,20-033,2003,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,59878425
317,Anthony Martial,fr FRA,DL,Manchester Utd,27-156,1995,8.5,205,248,82.7,2549,740,139,155,89.7,48,57,84.2,6,11,54.5,2,1.3,1.3,+0.7,9,13,10,0,29,Partidos,8b788c01
318,Martinelli,br BRA,DL,Arsenal,21-326,2001,30.8,831,1104,75.3,12936,2607,445,525,84.8,295,356,82.9,61,122,50.0,5,9.1,7.0,-4.1,59,33,43,10,94,Partidos,48a5a5d6
319,Emiliano Martínez,ar ARG,PO,Aston Villa,30-250,1992,31.9,948,1256,75.5,24934,16403,196,197,99.5,489,495,98.8,261,556,46.9,0,0.3,0.3,-0.3,2,17,0,0,0,Partidos,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-112,1998,23.5,1330,1528,87.0,23895,8188,532,568,93.7,683,728,93.8,96,193,49.7,0,0.3,1.0,-0.3,6,92,5,0,83,Partidos,bac46a10
321,Pape Matar Sarr,sn SEN,CC,Tottenham,20-238,2002,2.2,129,141,91.5,1928,380,64,67,95.5,56,59,94.9,3,7,42.9,0,0.0,0.0,0.0,1,8,0,0,11,Partidos,feb5d972
322,Jean-Philippe Mateta,fr FRA,DL,Crystal Palace,25-316,1997,8.2,98,142,69.0,1118,139,66,88,75.0,19,27,70.4,3,4,75.0,0,0.6,0.1,-0.6,5,4,0,0,6,Partidos,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-275,1991,11.1,705,816,86.4,12796,4255,276,315,87.6,363,394,92.1,57,84,67.9,0,0.3,0.4,-0.3,3,47,7,0,55,Partidos,b217ef29
324,Neal Maupay,fr FRA,DL,Everton,26-269,1996,11.8,180,241,74.7,2371,198,117,142,82.4,48,61,78.7,6,8,75.0,0,0.6,0.2,-0.6,7,7,2,0,10,Partidos,4bcf39f6
325,Kevin Mbabu,ch SUI,DFDL,Fulham,28-021,1995,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,+0.6,2,4,5,3,8,Partidos,493924a7
326,Bryan Mbeumo,cm CMR,DL,Brentford,23-276,1999,29.3,584,893,65.4,9318,2847,333,408,81.6,167,262,63.7,63,133,47.4,6,6.1,4.7,-0.1,45,31,42,13,80,Partidos,6afaebf2
327,James McArthur,sct SCO,CC,Crystal Palace,35-215,1987,0.2,17,22,77.3,244,37,9,11,81.8,7,8,87.5,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,cee31595
328,Alex McCarthy,eng ENG,PO,Southampton,33-158,1989,3.0,81,121,66.9,1893,1310,21,21,100.0,39,39,100.0,20,58,34.5,0,0.0,0.0,0.0,0,3,0,0,0,Partidos,36c2ca73
329,John McGinn,sct SCO,CCDL,Aston Villa,28-204,1994,26.9,742,949,78.2,13366,4405,342,396,86.4,284,343,82.8,96,155,61.9,3,2.6,3.2,+0.4,18,103,19,5,122,Partidos,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-179,1996,17.5,569,727,78.3,11331,4319,163,195,83.6,334,394,84.8,66,122,54.1,0,1.0,0.4,-1.0,8,35,3,1,35,Partidos,4e5a4cbc
331,Weston McKennie,us USA,CC,Leeds United,24-255,1998,13.4,412,544,75.7,6650,2307,215,268,80.2,135,168,80.4,40,64,62.5,0,0.5,0.5,-0.5,11,44,15,3,72,Partidos,01c3aff5
332,Dwight McNeil,eng ENG,DLCC,Everton,23-169,1999,24.8,555,839,66.2,9316,2904,288,339,85.0,174,238,73.1,68,167,40.7,3,5.0,4.4,-2.0,41,37,23,12,61,Partidos,fc15fb84
333,Scott McTominay,sct SCO,CC,Manchester Utd,26-153,1996,12.5,340,412,82.5,5241,1472,186,215,86.5,116,135,85.9,25,34,73.5,0,0.5,1.0,-0.5,7,30,5,1,30,Partidos,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-231,1989,33.3,1224,1613,75.9,23471,9638,464,547,84.8,596,725,82.2,153,293,52.2,0,0.3,0.7,-0.3,5,79,7,1,79,Partidos,8df7a2fb
335,Edouard Mendy,sn SEN,PO,Chelsea,31-070,1992,8.5,213,268,79.5,4987,3402,69,69,100.0,87,88,98.9,53,107,49.5,0,0.0,0.0,0.0,0,4,0,0,0,Partidos,33887998
336,Nampalys Mendy,sn SEN,CC,Leicester City,30-321,1992,8.2,357,408,87.5,5500,1124,186,201,92.5,142,155,91.6,19,26,73.1,0,0.0,0.1,0.0,2,20,3,0,28,Partidos,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-186,1997,23.4,828,988,83.8,15522,5452,291,326,89.3,459,503,91.3,71,133,53.4,0,0.2,0.6,-0.2,4,41,2,0,40,Partidos,fed96827
338,Illan Meslier,fr FRA,PO,Leeds United,23-069,2000,34.0,664,1039,63.9,16770,10937,144,148,97.3,354,359,98.6,162,523,31.0,0,0.0,0.0,0.0,0,13,1,0,0,Partidos,6b625ac2
339,Alexander Mighten,eng ENG,DL,Nott'ham Forest,21-029,2002,0.1,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,10ec4169
340,Luka Milivojević,rs SRB,CC,Crystal Palace,32-033,1991,5.7,207,260,79.6,3587,1136,89,101,88.1,89,107,83.2,20,37,54.1,0,0.2,0.2,-0.2,2,17,2,1,20,Partidos,2ce2508a
341,James Milner,eng ENG,CCDF,Liverpool,37-126,1986,8.7,476,619,76.9,8468,2901,216,239,90.4,202,238,84.9,47,103,45.6,1,0.8,1.6,+0.2,11,50,13,4,59,Partidos,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-229,1994,3.6,171,191,89.5,3007,1051,60,65,92.3,100,109,91.7,7,12,58.3,0,0.0,0.0,0.0,0,10,0,0,7,Partidos,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-058,1993,32.0,1535,1799,85.3,29552,11267,500,551,90.7,869,933,93.1,149,277,53.8,2,1.4,0.9,+0.6,5,97,6,0,105,Partidos,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-251,1999,29.1,1032,1447,71.3,16418,7661,534,635,84.1,432,570,75.8,50,158,31.6,2,1.1,1.2,+0.9,13,78,19,8,93,Partidos,5cbd1eb0
345,Kaoru Mitoma,jp JPN,DL,Brighton,25-355,1997,21.5,686,861,79.7,9473,2103,447,502,89.0,188,239,78.7,28,48,58.3,4,5.7,4.6,-1.7,34,43,25,1,79,Partidos,74618572
346,Aleksandar Mitrović,rs SRB,DL,Fulham,28-236,1994,20.1,270,449,60.1,4300,877,154,231,66.7,78,122,63.9,30,48,62.5,1,2.1,1.1,-1.1,15,25,8,1,41,Partidos,3925dbd6
347,Kieffer Moore,wls WAL,DL,Bournemouth,30-275,1992,13.2,200,339,59.0,2795,471,111,179,62.0,59,90,65.6,11,19,57.9,0,0.3,0.5,-0.3,4,16,6,0,22,Partidos,01ce9e70
348,Andrew Moran,ie IRL,DL,Brighton,19-207,2003,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-336,1993,13.6,544,697,78.0,7974,2415,299,351,85.2,205,252,81.3,21,38,55.3,3,2.6,2.2,+0.4,21,14,24,11,31,Partidos,16e9d0ea
350,Mason Mount,eng ENG,CCDL,Chelsea,24-120,1999,18.3,585,778,75.2,8688,2236,350,409,85.6,165,216,76.4,44,84,52.4,2,3.0,2.8,-1.0,30,55,27,5,98,Partidos,9674002f
351,Lucas Moura,br BRA,CCDF,Tottenham,30-270,1992,1.4,48,71,67.6,659,218,30,41,73.2,17,22,77.3,0,1,0.0,0,0.3,0.3,-0.3,3,3,5,1,10,Partidos,2b622f01
352,João Moutinho,pt POR,CC,Wolves,36-244,1986,19.8,850,1057,80.4,15648,4124,323,362,89.2,412,480,85.8,91,147,61.9,2,2.6,1.9,-0.6,36,105,23,4,132,Partidos,f5a00fa4
353,Divin Mubama,eng ENG,DL,West Ham,18-197,2004,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,92868cb5
354,Mykhailo Mudryk,ua UKR,DL,Chelsea,22-125,2001,6.4,143,195,73.3,1847,582,93,114,81.6,32,43,74.4,7,21,33.3,2,0.7,1.1,+1.3,8,10,10,0,19,Partidos,049a888d
355,Jacob Murphy,eng ENG,DL,Newcastle Utd,28-075,1995,13.5,290,438,66.2,4456,1232,172,212,81.1,88,129,68.2,18,40,45.0,2,2.8,3.1,-0.8,19,20,26,4,57,Partidos,de112b84
356,Enock Mwepu,zm ZAM,DLCC,Brighton,25-129,1998,2.4,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,1,0.5,0.2,+0.5,3,5,2,0,6,Partidos,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-346,1999,29.5,966,1292,74.8,15199,5874,509,585,87.0,365,477,76.5,63,147,42.9,0,1.2,0.9,-1.2,19,84,21,11,100,Partidos,30d4a2e5
358,Keylor Navas,cr CRC,PO,Nott'ham Forest,36-146,1986,15.0,290,482,60.2,9737,7816,27,27,100.0,129,130,99.2,134,320,41.9,0,0.0,0.0,0.0,0,6,0,0,1,Partidos,ecada4fc
359,Wilfred Ndidi,ng NGA,CCDF,Leicester City,26-145,1996,17.0,735,866,84.9,11246,2775,379,410,92.4,300,342,87.7,30,65,46.2,0,0.1,0.2,-0.1,3,48,0,0,50,Partidos,6b47c5db
360,Reiss Nelson,eng ENG,DL,Arsenal,23-151,1999,1.7,82,98,83.7,1068,161,50,55,90.9,23,28,82.1,3,5,60.0,2,0.6,0.4,+1.4,7,1,4,2,4,Partidos,c5bdb6e3
361,Neto,br BRA,PO,Bournemouth,33-295,1989,24.5,457,750,60.9,14477,11757,95,97,97.9,156,162,96.3,199,483,41.2,0,0.0,0.0,0.0,0,14,2,0,0,Partidos,a9dc785c
362,Pedro Neto,pt POR,DLCC,Wolves,23-062,2000,10.2,269,362,74.3,4262,990,159,178,89.3,78,112,69.6,25,50,50.0,0,2.1,1.6,-2.1,19,13,9,4,24,Partidos,7ba2eaa9
363,Rúben Neves,pt POR,CC,Wolves,26-058,1997,31.1,1617,1957,82.6,34383,9359,531,585,90.8,775,863,89.8,295,441,66.9,1,1.4,1.3,-0.4,28,190,13,1,203,Partidos,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-063,1996,9.9,209,296,70.6,4188,2057,72,77,93.5,105,144,72.9,31,63,49.2,0,0.1,0.1,-0.1,1,12,0,0,11,Partidos,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-303,1997,18.8,647,925,69.9,10593,4548,321,389,82.5,270,365,74.0,42,111,37.8,1,1.0,0.9,0.0,8,51,16,2,69,Partidos,39769cff
366,Eddie Nketiah,eng ENG,DL,Arsenal,23-345,1999,11.5,193,242,79.8,2708,337,123,143,86.0,56,66,84.8,7,10,70.0,1,1.2,1.3,-0.2,8,7,6,0,15,Partidos,a53649b7
367,Matheus Nunes,pt POR,CC,Wolves,24-256,1998,25.7,756,957,79.0,13830,2767,358,422,84.8,269,314,85.7,108,159,67.9,1,2.2,1.1,-1.2,26,68,16,5,79,Partidos,e6af02e0
368,Darwin Núñez,uy URU,DL,Liverpool,23-320,1999,18.8,258,401,64.3,3922,852,130,184,70.7,80,117,68.4,21,30,70.0,3,5.4,2.8,-2.4,28,11,12,1,29,Partidos,4d77b365
369,Ethan Nwaneri,eng ENG,DL,Arsenal,16-050,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,7f94982c
370,Christian Nørgaard,dk DEN,CC,Brentford,29-061,1994,19.6,608,812,74.9,9879,3427,304,369,82.4,252,326,77.3,40,74,54.1,3,3.1,1.8,-0.1,12,68,8,2,73,Partidos,df0a4c90
371,Lewis O'Brien,eng ENG,CC,Nott'ham Forest,24-208,1998,6.5,166,214,77.6,2785,650,72,85,84.7,84,103,81.6,7,16,43.8,0,0.2,0.2,-0.2,4,19,3,0,21,Partidos,089667a5
372,Odeluga Offiah,eng ENG,DF,Brighton,20-196,2002,0.0,4,6,66.7,57,8,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Partidos,65c3efa2
373,Angelo Ogbonna,it ITA,DF,West Ham,34-352,1988,11.7,266,335,79.4,5046,1692,82,99,82.8,150,174,86.2,27,52,51.9,0,0.2,0.1,-0.2,2,6,1,0,8,Partidos,74b2cd7e
374,Michael Olise,fr FRA,DLCC,Crystal Palace,21-149,2001,27.6,869,1258,69.1,14659,4380,463,536,86.4,288,391,73.7,98,242,40.5,9,7.2,5.4,+1.8,60,65,44,12,120,Partidos,c4486bac
375,Robin Olsen,se SWE,PO,Aston Villa,33-122,1990,3.1,74,131,56.5,2049,1522,17,18,94.4,30,30,100.0,27,80,33.8,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,e7ee38c3
376,Amadou Onana,be BEL,CC,Everton,21-267,2001,25.4,744,893,83.3,11782,2657,393,444,88.5,279,323,86.4,49,73,67.1,2,2.3,1.6,-0.3,19,69,10,0,63,Partidos,828657ff
377,Josh Onomah,eng ENG,CC,Fulham,26-013,1997,0.2,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,6612cd8c
378,Paul Onuachu,ng NGA,DL,Southampton,28-347,1994,3.8,50,77,64.9,702,136,32,44,72.7,9,15,60.0,5,6,83.3,0,0.1,0.1,-0.1,4,4,1,0,5,Partidos,c06d1086
379,Frank Onyeka,ng NGA,CC,Brentford,25-129,1998,7.8,154,210,73.3,2374,594,81,102,79.4,59,76,77.6,7,15,46.7,2,0.6,0.7,+1.4,6,17,3,0,21,Partidos,2944f86f
